 ------------------------------------------------------------------------------
 ----- WATER ------------------------------------------------------------------
 ------------------------------------------------------------------------------
User:	tnwillia
Date:	1/19/2012 1:36:42 PM
StationID:	4069500
Date	Discharge (cfs)	Subsurface Flow (cfs)	Impervious Flow (mm)	Infiltration Excess (mm)	Initial Abstracted Flow (mm)	Overland Flow (mm)	PET (mm)	Average Soil Root zone (mm)	Average Soil Upperzone (mm)	Snow Pack (mm)	Precipitation (mm)
5/18/2008	754.05823013721	68.6657289409491	5.96164200240083E-14	0	0	0	1.77011652785475	64.2002557675166	0	0	0.259546296207038
5/19/2008	728.758690583875	67.8568794747876	2.70658128177936E-18	0	0	0	1.58145641075592	62.9607386807305	0	0	0.0238825938799443
5/20/2008	716.761502400013	66.907483964352	1.22878600089278E-22	0	0	0	1.86545270312336	61.4213732548183	0	0	0
5/21/2008	702.366702655776	66.0027419261474	5.57867981337497E-27	0	0	0	1.67401007885828	60.2821292594547	0	0	0.144345113700696
5/22/2008	693.42445263994	65.0841910577702	2.53271671694463E-31	0	0	0	1.86877069758091	58.7335650681697	0	0	0
5/23/2008	679.252298947028	64.2841098058433	1.1498516105754E-35	0	0	0	2.01183884151735	57.1129154538346	0	0	0
5/24/2008	666.135538567925	63.4626621697084	5.22031823574204E-40	0	0	0	2.10153115084314	55.4323834758758	0	0	0
5/25/2008	653.318398276788	62.6624251883988	2.37002081240899E-44	0	0	0	2.4469547347698	53.4246215506429	0	0	0
5/26/2008	915.782474556676	63.89880340148	0.0567707178149597	0.0202096639478981	0.0484121708317562	0.123118349481817	3.5164594590672	63.0921896689064	0.0426866509393561	0	17.9843920570431
5/27/2008	712.610944081508	65.3908480417458	2.57738660136522E-06	0	0	0	1.7146660180044	61.3779471469241	0	0	0
5/28/2008	689.928427657482	64.8929757671189	1.1701317067292E-10	0	0	0	1.93449888507035	59.8023915532496	0	0	0
5/29/2008	676.28064154236	64.0386212977382	5.31238972983787E-15	0	0	0	2.50190265804106	57.7052215806916	0	0	0
5/30/2008	658.855600277201	63.1910229938096	2.41182120605662E-19	0	0	0	2.42780873386574	57.1440118725032	0	0	1.34432698378258
5/31/2008	797.818252170532	63.2616276714932	0.026566969137476	0	0.0373072968116818	0.075025599661601	3.11711504432297	62.9434402423144	0.073699994222887	0	11.9011960961589
6/1/2008	699.330934176463	64.3326492423594	1.20613853284396E-06	0	0	0	2.79255028234325	60.1516052071651	0	0	0
6/2/2008	666.656449775984	63.8721423763821	5.47586046749566E-11	0	0	0	3.35069976257501	57.4829513525074	0	0	0.0991570334734684
6/3/2008	647.656816274786	62.8503060980462	2.48603680613194E-15	0	0	0	2.63461719940205	57.2182713277328	0	0	1.69228298185994
6/4/2008	654.142745118678	61.8302047063319	1.12865896385384E-19	0	0	0	2.46642762731882	54.9779667134121	0	0	0.0300025475447771
6/5/2008	631.342688205698	61.2550425115288	5.12410376847249E-24	0	0	0	3.05329405838869	52.4326190281168	0	0	0
6/6/2008	614.519056394932	60.4730175004406	2.32633951184287E-28	0	0	0	3.9220997520862	51.8370043464471	0	0	2.79424554810985
6/7/2008	620.204481130448	59.7253948287809	1.05615650441464E-32	0	0	0	3.89507704973837	48.6233779701719	0	0	0.498279170334403
